iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
299,1349457,17565,266380,1003198,791,265692,232437,503267,38664
300,931868,15377,236505,624534,440,179544,193213,250345,38664
301,1305356,17337,281769,944372,696,248498,276713,417215,38664
302,1020469,15835,249427,695358,646,245722,209448,238591,38664
303,998403,15771,189354,737089,492,181421,139531,414582,38664
304,1362309,22251,296366,960990,678,344418,275087,339677,38664
305,1278073,14859,231878,976700,533,261759,307678,405705,38664
306,1277837,19930,280759,905651,596,290216,197643,416085,38664
307,1281167,20272,248337,942915,1166,253207,295216,392100,38664
308,1182526,23886,336147,732679,956,313062,180940,236317,38664
309,1209956,22267,299498,800981,616,242735,238209,317846,38664
310,777275,15492,242832,461220,533,179077,130603,150322,38664
311,582790,8509,132990,409793,177,178182,113390,117687,38664
312,535143,6739,120951,383690,158,177000,90400,115833,38664
313,547924,5850,118586,402438,181,212226,75825,113790,38664
314,534515,6060,119070,388584,159,175760,74041,138297,38664
315,711912,5780,118445,566689,156,186582,141264,238372,38664
316,623433,6016,131138,462943,182,207251,106610,148557,38664
317,629840,5867,131288,469980,195,195424,92248,181780,38664
318,702135,6603,254632,417610,208,175659,95540,145742,38664
319,895519,7171,120654,744033,236,215446,238704,288936,38664
320,1043859,16932,205988,759501,557,199199,201620,357170,38664
321,1224866,8761,133072,1051575,230,178388,415067,457194,38664
322,706687,12367,160370,489406,564,192188,95624,200161,38664
323,653472,7983,127224,490755,555,177611,105732,205770,38664
324,1003992,20451,221564,689672,763,181266,308626,197882,38664
325,877064,18420,241171,547838,577,304685,100017,141588,38664
326,1336116,13163,217677,1035563,557,319426,254540,459830,38664
327,1122043,16774,257523,788725,608,246540,245992,294566,38664
328,1084840,14029,219878,796692,700,255499,228477,311406,38664
329,1110381,13405,227477,818784,779,318413,220565,278328,38664
330,964968,11094,210474,701679,493,271447,184534,244636,38664
331,940730,10625,196875,693550,447,302251,162555,227837,38664
