iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
203,4233156,55931,2731985,1180819,7262,764120,195857,211273,38664
204,4709510,59908,3187817,1184885,3837,757610,173917,246956,38664
205,5047698,70548,3346729,1297177,4103,762182,234874,293074,38664
206,6208469,88883,4319262,1445448,5816,833655,280627,320971,38664
207,5445323,81555,3595411,1415650,5023,963666,200464,243879,38664
208,4618644,72319,3045578,1187050,4628,716560,237389,225657,38664
209,4519816,100906,2982467,1149426,4390,733823,162464,245713,38664
210,4648799,61211,3116138,1200835,3826,759845,203023,231615,38664
211,4936080,65461,3164646,1391841,4084,800017,307713,276737,38664
212,4975261,64081,3110754,1490123,4057,770624,338716,373781,38664
213,4719575,60539,3107796,1271841,4081,777299,229111,258937,38664
214,4492205,70368,2963053,1185316,3840,804738,158870,215507,38664
215,4414324,63329,2972722,1100367,3369,717523,179494,197964,38664
216,4100879,55538,2833793,968072,3673,643219,144405,174288,38664
217,4152841,62653,2771715,1077331,3703,703651,178071,189650,38664
218,4644637,66790,3034617,1263515,4427,749570,187368,319413,38664
219,5251910,64289,3551732,1334576,5101,749068,286208,290629,38664
220,6571718,91173,4256529,1812614,5370,908464,310072,584286,38664
221,5477706,84580,3746479,1253886,6627,792600,214663,236338,38664
222,5071663,71309,3329882,1331063,4715,813723,240417,269230,38664
223,5467104,82583,3664066,1352553,5468,834823,230378,278705,38664
224,5218104,71585,3563298,1253403,4494,795828,203612,246846,38664
225,4718461,89373,3090312,1251073,4662,762225,246446,235459,38664
226,4173064,62325,2650431,1158379,3398,719826,200661,231904,38664
227,4561295,61894,3078389,1166604,3817,726103,186638,247367,38664
228,4029033,50599,2675087,1074615,4319,680764,169839,217288,38664
229,4381277,56860,2835853,1228735,3085,734187,211487,277585,38664
230,6213312,70599,4101320,1717806,5541,913644,278540,516461,38664
231,5108202,83557,3280421,1353690,4619,781409,308037,256929,38664
232,6473140,81499,4150200,1838626,5685,1011488,312388,505380,38664
233,6041186,74926,3971757,1685604,4598,913058,383523,380752,38664
234,6114707,96890,4173201,1504211,5041,895084,381814,218515,38664
235,6545988,82203,4295195,1659831,6628,909118,342026,396951,38664
236,5332796,79085,3456379,1427267,6657,839637,244638,332058,38664
237,4900944,76821,3201671,1273226,4520,773508,257793,235231,38664
238,4979717,54837,3165562,1494785,4511,893330,280837,313532,38664
239,5448842,84819,3391703,1681417,5559,792488,322012,557857,38664
240,6417926,83243,4250069,1714922,5544,896212,288988,519977,38664
241,6497477,107440,4217700,1823608,5772,915588,414786,483467,38664
242,6521783,94112,4459870,1568897,5378,913696,296993,348299,38664
243,6100849,82001,4091431,1572682,4468,893259,322006,349393,38664
244,6453191,80954,4317330,1698838,5534,916647,347435,424850,38664
245,6916587,98876,4479650,1931200,5901,966111,354600,600212,38664
246,6221990,83740,4168964,1627407,5094,898939,364715,354312,38664
247,5409704,78167,3437634,1555817,5334,974011,259696,313223,38664
